DIA;MES;AÑO;MUESTREO;HLB;CULTIVO;PARCELA;CÓD.;REP.;COPA;PATRÓN;PUNTO;ÁRBOL;PRESENCIA BROTE;Brote D. citri;HUEVOS ;NINFA 1;NINFA 2;NINFA 3;NINFA 4;NINFA 5;ADULTO;OBSERVACIONES
11;12;2019;73;HLB 5;MANDARINA;L2NA12;28;2;Arrayana;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA12;28;2;Arrayana;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA12;28;2;Arrayana;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA12;28;2;Arrayana;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA11;27;2;Owari Satsuma;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA11;27;2;Owari Satsuma;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA11;27;2;Owari Satsuma;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA11;27;2;Owari Satsuma;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA10;29;2;Fairchild;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA10;29;2;Fairchild;SxE;Este;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA10;29;2;Fairchild;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;MANDARINA;L2NA10;29;2;Fairchild;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA9;22;3;Washington;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA9;22;3;Washington;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA9;22;3;Washington;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA9;22;3;Washington;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA8;23;3;Sweety orange;SxE;Norte;3;1;NA;0;0;0;13;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA8;23;3;Sweety orange;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA8;23;3;Sweety orange;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA8;23;3;Sweety orange;SxE;Oeste;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA7;17;3;Pera del Río;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA7;17;3;Pera del Río;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA7;17;3;Pera del Río;SxE;Sur;3;1;NA;3;0;0;0;1;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA7;17;3;Pera del Río;SxE;Oeste;3;1;NA;126;31;3;0;10;2;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA6;21;3;Pinneaple;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA6;21;3;Pinneaple;SxE;Este;3;1;NA;18;3;0;0;4;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA6;21;3;Pinneaple;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA6;21;3;Pinneaple;SxE;Oeste;3;1;NA;3;0;0;0;2;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA5;20;3;Parson Brown;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA5;20;3;Parson Brown;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA5;20;3;Parson Brown;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA5;20;3;Parson Brown;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA4;24;3;Frost Valencia;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA4;24;3;Frost Valencia;SxE;Este;3;1;NA;66;0;10;3;19;29;1;Adulto de D.citri afectado por hongo entomopatógeno
11;12;2019;73;HLB 5;NARANJA;L2NA4;24;3;Frost Valencia;SxE;Sur;3;1;NA;0;5;2;0;0;19;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA4;24;3;Frost Valencia;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA3;18;3;Lannelate;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA3;18;3;Lannelate;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA3;18;3;Lannelate;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA3;18;3;Lannelate;SxE;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA2;19;3;Hamlin;SxE;Norte;3;1;NA;0;0;0;0;1;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA2;19;3;Hamlin;SxE;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA2;19;3;Hamlin;SxE;Sur;3;1;NA;0;0;0;0;2;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA2;19;3;Hamlin;SxE;Oeste;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA1;25;3;García Valencia;SxE;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA1;25;3;García Valencia;SxE;Este;3;1;NA;10;0;0;0;0;1;0;NA
11;12;2019;73;HLB 5;NARANJA;L2NA1;25;3;García Valencia;SxE;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L2NA1;25;3;García Valencia;SxE;Oeste;3;1;NA;7;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L3NA1;5;2;Pinneaple;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA1;5;2;Pinneaple;CPB;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA1;5;2;Pinneaple;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA1;5;2;Pinneaple;CPB;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA2;8;2;Frost Valencia;CPB;Norte;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA2;8;2;Frost Valencia;CPB;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA2;8;2;Frost Valencia;CPB;Sur;3;1;NA;0;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L3NA2;8;2;Frost Valencia;CPB;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA3;7;2;Sweety Orange;CPB;Norte;3;1;NA;3;0;0;0;0;0;0;NA
11;12;2019;73;HLB 5;NARANJA;L3NA3;7;2;Sweety Orange;CPB;Este;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA3;7;2;Sweety Orange;CPB;Sur;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;12;2019;73;HLB 5;NARANJA;L3NA3;7;2;Sweety Orange;CPB;Oeste;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
